code,processed_code
"a is 2
if a is 1:
    print 'a is 1'
elif a is 2:
    print 'a is 2'
else:
    print 'a is not 1 or 2'",% is % if % is % print % is % % % is % print % is % % print % is % % % % 
"colour is green
if colour is green:
    print 'The colour is green'
else:
    print 'The colour is not green'",% is % if % is % print % % is % % print % % is % % 
"colour is green
if colour is green:
    print 'The colour is green'
else:
    print 'The colour is not green'
car is yellow
if car is yellow:
    print ' The car is yellow'
else:
    print 'The car is not yellow'",% is % if % is % print % % is % % print % % is % % % is % if % is % print % % % is % % print % % is % % 
"a is 2
if a is 1:
    print 'a is 1'
elif a is 2:
    print 'a is 2'
else:
    print 'a is not 1 or 2'
    a is 2
if a is 1:
    print 'a is 2'
else:
    print 'a is not 1 or 2'",% is % if % is % print % is % % % is % print % is % % print % is % % % % % is % if % is % print % is % % print % is % % % % 
"resturantname is ask what is resturantname?
print welcome to resturantname",% is ask % is % print % % % 
print 5 minutes later,print % % % 
"resturantname is ask what is resturantname?
print resturantname",% is ask % is % print % 
"resturantname is ask what is restutantname?
print 'Welcome to ' resturantname
",% is ask % is % print % % % % 
"waitername is ask what is waiter name?
print 'My name is waitername and I will be serving you tonight'",% is ask % is % % print % % is % % % % % % % % 
"waitername is ask what is waiter name?
print 'My name is ' waitername ' and I will be serving you tonight'",% is ask % is % % print % % is % % % % % % % % % % 
"lunch is ask what are you having for lunch ?
time is ask when are you having lunch?
print 'I am having' lunch at time oclock",% is ask % % % % for % % % is ask % % % % % print % % % % at % % 
"numbers is 1, 2, 3
print numbers at 2",% is % % % print % at % 
a is 2,% is % 
"a is 2
if a is 1:
    print 'a is 1'
elif a is 2:
    print 'a is 2'",% is % if % is % print % is % % % is % print % is % 
"food is ask what are you having for lunch?
time is ask What time are you having lunch?
print I am having ' food ' at ' time ' oclock",% is ask % % % % for % % is ask % % % % % % print % % % % % % at % % % % 
"food is ask what are you having for lunch?
time is ask What time are you having lunch?
print I am having food at time oclock",% is ask % % % % for % % is ask % % % % % % print % % % % at % % 
"game is Rock, Paper, Scissors
playermove is ask player move?
print 'Computer ' game at random
print 'You ' playermove",% is % % % % is ask % % print % % % at random print % % % 
lunch is ask what are you having for lunch?,% is ask % % % % for % 
"game is Rock, Paper, Scissors
print game at random",% is % % % print % at random 
