code,processed_code
antwoord is ask reapeat hoi yes or no,% is ask % % % % % 
print hey,print % 
mens is ask 'Karel of Lotte',% is ask % % % 
"mens is ask Karel of lotte?
print mens ' '
if mens is Karel print 'Je hebt gekozen voor een stoere ridder' else print 'Je hebt gekozen voor een mooie prinses'",% is ask % % % print % % % if % is % print % % % % % % % else print % % % % % % % 
"mens is ask Karel of lotte?
print echo mens 'is je presonage '
if mens is Karel print 'Je hebt gekozen voor een stoere ridder' else print 'Je hebt gekozen voor een mooie prinses'",% is ask % % % print % % % % % % if % is % print % % % % % % % else print % % % % % % % 
"mens is ask Karel of lotte?
print mens 'is je presonage '
if mens is Karel print 'Je hebt gekozen voor een stoere ridder' else print 'Je hebt gekozen voor een mooie prinses'",% is ask % % % print % % % % % if % is % print % % % % % % % else print % % % % % % % 
repeat 7 times print 'I got a new cat',repeat % times print % % % % % 
if daddy is good repeat 7 times print 'you are right',if % is % repeat % times print % % % 
"daddy is ask How Is daddy?
if daddy is good repeat 7 times print 'you are right'",% is ask % % % if % is % repeat % times print % % % 
time is ask what time is it?,% is ask % % is % 
"time is ask what time is it?
if time is 5 print 'i will have to go then'",% is ask % % is % if % is % print % % % % % % 
"time is ask what time is it?
if time is 5 print 'i will have to go then' else print 'you are wrong'",% is ask % % is % if % is % print % % % % % % else print % % % 
"name is ask Wat is je naam?
print name 'Hallo  '
",% is ask % is % % print % % % 
name is hedy,% is % 
print 'hello welcome to the hague',print % % % % % 
repeat 3 times print hedy,repeat % times print % 
"hedy is milk
repeat 3 times print hedy",% is % repeat % times print % 
"milk is white
hedy is milk
repeat 3 times print hedy",% is % % is % repeat % times print % 
"milk is white
hedy is like milk
repeat 3 times print hedy",% is % % is % % repeat % times print % 
"repeat 3 times print 'sathiya is a rockstar'
",repeat % times print % is % % 
"LILI is ask what is your age?
print 'my age is' LILI
",% is ask % is % % print % % % % 
"LILI is ask what is your age?
print 'my age is ' LILI
",% is ask % is % % print % % is % % 
print three times 'blue is nice',print % times % is % 
repeat three times print 'blue is nice',repeat % times print % is % 
animal is ask What is your favourite animal?,% is ask % is % % % 
"animal is ask What is your favourite animal?
if animal is cat print nice else print meh",% is ask % is % % % if % is % print % else print % 
"moves is Rock, Papers, Scissors
print moves at random",% is % % % print % at random 
repeat 3 times print 'Hello welcome to Hedy',repeat % times print % % % % 
"print Welcome to Pizza hut
name is Nhlanla
print 'my name is ' name
print and i will be serving you tonight
",print % % % % % is % print % % is % % print % % % % % % % 
"password is ask What is your favorite color?
if password is green print 'access granted' else print 'access denied'",% is ask % is % % % if % is % print % % else print % % 
"food is ask what is your favourite food?
print food 'what is your favourite '",% is ask % is % % % print % % is % % % 
"food is ask what is your favourite food?
print food ' what is your favourite '",% is ask % is % % % print % % % is % % % 
"code is ask enter a number
code is code * 7
print 'the code of the code is' code",% is ask % % % % is % * % print % % % % % % % 
"code is ask enter a number
code is code * 7
print ' the code of the code is ' code",% is ask % % % % is % * % print % % % % % % is % % 
"customer is what specials do you have today?
",% is % % % % % % 
"customer is what specials do you have today?
if customer is pizza print 'pizza coming up' else print 'we only have pizza'",% is % % % % % % if % is % print % % % else print % % % % 
"customer is ask what specials do you have today?
if customer is pizza print 'pizza coming up' else print 'we only have pizza'",% is ask % % % % % % if % is % print % % % else print % % % % 
"music is ask who is your favorite male artist?
if music is drake repeat 3 times print 'yeah he is good' else repeat 5 times print 'you could do better'",% is ask % is % % % % if % is % repeat % times print % % is % else repeat % times print % % % % 
"customer is ask what specials do you have today?
",% is ask % % % % % % 
"food is ask What are you having for lunch?
time is ask What time are you having lunch?
print I am having food at time oclock",% is ask % % % % % % % is ask % % % % % % print % % % % at % % 
"food is ask What are you having for lunch?
time is ask What time is your lunch?
print I am having food at time oclock",% is ask % % % % % % % is ask % % is % % print % % % % at % % 
"word is ask Enter your favourite word?
",% is ask % % % % 
"resturant is ask What is your favourate resturant?
print 'Welcome ' 'to ' resturant",% is ask % is % % % print % % % % % 
"move is Rock, Paper, Scissors
player1 is move at random
player2 is ask chose Rock Paper or Scissors",% is % % % % is % at random % is ask % % % % % 
"move is Rock, Paper, Scossors
player1 is move at random
player2 is ask Rock, Paper, Scissors",% is % % % % is % at random % is ask % % % 
"move is Rock, Paper, Scossors
player1 is move at random
player2 is ask Rock, Paper, Scissors
print player2",% is % % % % is % at random % is ask % % % print % 
"resturant is ask What is your favourate resturant?
print 'Welcome ' 'to ' resturant
user1 is ask What is your name?
print 'My name is ' user1 'and I will be serving you tonight
user2 is ask What is your name?
print Hi user2 its nice to meet you
user3 is ask What is your name?
print Hi user3 its nice to meet you
drink1 is ask What is your favourate drink?
drink2 is ask What is your other favourate drink?
print Great I will be back with one drink and one ' drink2 '5 minutes later'
print Here is your drink1 user2
print Here is your drink2 user3",% is ask % is % % % print % % % % % % is ask % is % % print % % is % % % % % % % % % % is ask % is % % print % % % % % % % % is ask % is % % print % % % % % % % % is ask % is % % % % is ask % is % % % % print % % % % % % % % % % % % % % % print % is % % % print % is % % % 
"resturant is ask What is your favourate resturant?
print Welcome to resturant",% is ask % is % % % print % % % 
"word is ask What is your favourit word?
repeat 5 times print word",% is ask % is % % % repeat % times print % 
"player is Rock, Papper, Scissors
human is ask Player 2 Rock Papper or Scissors
print 'Player 1 ' player at random
human is ask Player 2 Rock Papper or Scissors
print 'Player 1 ' player at random
human is ask Player 2 Rock Papper or Scissors
print 'Player 1 ' player at random",% is % % % % is ask % % % % % % print % % % % at random % is ask % % % % % % print % % % % at random % is ask % % % % % % print % % % % at random 
"player is Rock, Papper, Scissors
human is ask Player 2 Rock Papper or Scissors
repeat 3 times print 'Player 1 ' player at random",% is % % % % is ask % % % % % % repeat % times print % % % % at random 
"player is Rock, Papper, Scissors
human is ask Player 2 Rock Papper or Scissors
print 'Player 1' player at random",% is % % % % is ask % % % % % % print % % % at random 
"player is Rock, Papper, Scissors
human is ask Rock Papper or Scissors
print 'Player ' player at random",% is % % % % is ask % % % % print % % % at random 
"player is Rock, Papper, Scissors
human is ask Rock Papper or Scissors
print 'Player ' player at 1",% is % % % % is ask % % % % print % % % at % 
"Program is Rock, Paper, Scissors
Human is ask Round 1 Choose Rock Paper Scissors
print 'Program goes with ' Program at random
print 'You went with ' Human
Human is ask Round 2 What do you choose this time?
print 'This round program goes with ' Program at random
print 'You went with ' Human
Human is ask Final round pick wisely
print Program at random
print Human",% is % % % % is ask % % % % % % print % % % % % at random print % % % % % % is ask % % % % % % % % print % % % % % % % at random print % % % % % % is ask % % % % print % at random print % 
"lunch is ask What are you having for lunch?
time is ask What time are you having lunch?
print hello",% is ask % % % % % % % is ask % % % % % % print % 
"lunch is ask What are you having for lunch?
time is ask What time are you having lunch?
print I am having time",% is ask % % % % % % % is ask % % % % % % print % % % % 
"animals is dog, cat, mouse
print animals at 0
print animals at 1
",% is % % % print % at % print % at % 
"animals is dog, cat, mouse
print animals at 0
print animals at 1
print animals at 2",% is % % % print % at % print % at % print % at % 
"brendon is ask what is my favourite color?
print brendon",% is ask % is % % % print % 
"print 'hello welcome to hedy'
print repeat 'hello welcome to hedy'
",print % % % % print repeat % % % % 
print 'hello welcome to hedy',print % % % % 
"RESTAURANT is ask which restaurant are you in?
NAMEA is ask Waiters name?
CUSTOMER is ask What is the customers name?
CUSTOMERA is ask what is the customers friend name
DRINK is ask what would you like to drink?
DRINKA is ask what would your friend like to drink?

print 'Welcome to ' RESTAURANT
print 'My name is ' NAMEA ' and i will be serving you tonight'
print 'Hi ' CUSTOMER ' its nice to meet you'
print 'Hi ' CUSTOMERA ' its nice to meet you'
print 'Great I will be back with one ' DRINK ' and one ' DRINKA
print '5 minutes later'
print 'Here is your ' DRINK ' ' CUSTOMER
print 'Here is your ' DRINKA ' ' CUSTOMERA",% is ask % % % % % % is ask % % % is ask % is % % % % is ask % is % % % % % is ask % % % % % % % is ask % % % % % % % print % % % % print % % is % % % % % % % % % % print % % % % % % % % % print % % % % % % % % % print % % % % % % % % % % % % % % print % % % print % is % % % % % % print % is % % % % % % 
"restaurant is ask Which restaurant are you at?
print 'Welcome to ' restaurant
waiter is ask Who will be serving you?
print 'My name is ' waiter ' and I will be serving you tonight'
guest1 is ask What is the name of your first customer?
print 'Hi ' guest1 ' its nice to meet you'
guest2 is ask What is the name of your second customer?
print 'Hi ' guest2 ' its nice to meet you'
drink1 is ask What would you like to drink?
drink2 is ask And what would you like to drink?
print 'Great I will be back with one ' drink1 ' and one
' drink2
print '5 minutes later'
print 'Here is your ' drink1 ' ' guest1
print 'Here is your ' drink2 ' ' guest2
",% is ask % % % % % print % % % % % is ask % % % % % print % % is % % % % % % % % % % % is ask % is % % % % % % print % % % % % % % % % % is ask % is % % % % % % print % % % % % % % % % % is ask % % % % % % % is ask % % % % % % % print % % % % % % % % % % % % % % print % % % print % is % % % % % % print % is % % % % % % 
"waiter is ask what is your restaurant?
print 'Welcome to ' waiter
name1 is ask waiters name?
print 'My name is ' name1 ' and i will be serving you tonight'
print ' Hi' name2 ' its nice to meet you'",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % % print % % % % % % % % % 
"waiter is ask what is your restaurant?
print 'Welcome to ' waiter
name1 is ask waiters name?
print 'My name is ' name1 ' and i will be serving you tonight'
print ' Hi ' name2 ' its nice to meet you'",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % % print % % % % % % % % % % 
"waiter is ask what is your restaurant?
print 'Welcome to ' waiter
name1 is ask waiters name?
print 'My name is ' name1 ' and i will be serving you tonight'
name2 is ask what is your name?
print Hi name2 its nice to meet you",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % % % is ask % is % % print % % % % % % % 
"waiter is ask what is your restaurant?
print 'Welcome to ' waiter
name1 is ask waiters name?
print 'My name is ' name1 ' and i will be serving you tonight'",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % % 
"waiter is ask what is your restaurant?
print 'Welcome to ' waiter
name1 is ask waiters name?
print 'My name is ' name1 'and i will be serving you tonight'",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % 
"waiter is ask what is your restaurant?
print 'Welcome to ' waiter
name1 is ask waiters name?
print My name is name1 and i will be serving you tonight",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % 
"place is ask What is your restaurant?
print 'Welcome to' place
Name is ask Waiters name?
print My name is Name and I will be serving you tonight
Customer is ask what is your name?
print Hi Customer its nice to meet you
Customer1 is ask what is your friends name?
print Hi Customer1 its nice to meet you
drink1 is ask What would you like to drink?
drink2 is ask What would you like to drink?
print Great i will be back with one drink1 and one drink2
print Here is your drink1 Customer
print Here is your drink2 Customer1",% is ask % is % % print % % % % is ask % % print % % is % % % % % % % % % is ask % is % % print % % % % % % % % is ask % is % % % print % % % % % % % % is ask % % % % % % % is ask % % % % % % print % % % % % % % % % % % print % is % % % print % is % % % 
"Restaurant is ask What is your restaurant?
print 'Welcome to ' Restaurant
Name is ask Waiters name?
print My name is Name and i will be serving you tonight
Customer is ask What is your name?
print Hi Customer its nice to meet you
Customer1 is ask what is your friends name?
print hi Customer1 its nice to meet you
drink1 is ask What would you like to drink?
drink2 is ask What would you like to drink?
print Great i will be back with one drink1 and one drink2
print Here is your drink1 Customer
print Here is your drink2 Customer1",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % is ask % is % % print % % % % % % % % is ask % is % % % print % % % % % % % % is ask % % % % % % % is ask % % % % % % print % % % % % % % % % % % print % is % % % print % is % % % 
"restuarant is ask where are  time we eating
myname is ask what is your name
customer1 is ask what is your name ",% is ask % % % % % % is ask % is % % % is ask % is % % 
"restuarant is ask where are  time we eating
myname is ask what is your name
myname is ask nice to meet you
",% is ask % % % % % % is ask % is % % % is ask % % % % 
"Restaurant is ask What is your restaurant?
print 'Welcome to ' Restaurant
Name is ask Waiters name?
print 'My name is ' Name 'and i will be serving you tonight'
Customer is ask What is your name?
print 'Hi ' Customer ' its nice to meet you'
Customer1 is ask what is your friends name?
print hi Customer1 its nice to meet you
drink1 is ask What would you like to drink?
drink2 is ask What would you like to drink?
print Great i will be back with one drink1 and one drink2
print Here is your drink1 Customer
print Here is your drink2 Customer1",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % % is ask % is % % print % % % % % % % % % % is ask % is % % % print % % % % % % % % is ask % % % % % % % is ask % % % % % % print % % % % % % % % % % % print % is % % % print % is % % % 
"Restaurant is ask What is your restaurant?
print 'Welcome to ' Restaurant
Name is ask Waiters name?
print 'My name is ' Name 'and i will be serving you tonight'
Customer is ask What is your name?
print 'Hi ' Customer 'its nice to meet you'
Customer1 is ask what is your friends name?
print hi Customer1 its nice to meet you
drink1 is ask What would you like to drink?
drink2 is ask What would you like to drink?
print Great i will be back with one drink1 and one drink2
print Here is your drink1 Customer
print Here is your drink2 Customer1",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % % is ask % is % % print % % % % % % % % % is ask % is % % % print % % % % % % % % is ask % % % % % % % is ask % % % % % % print % % % % % % % % % % % print % is % % % print % is % % % 
"restuarant is ask where are  time we eating
myname is ask what is your name
myname is ask nice to meet you
lihle is ask ",% is ask % % % % % % is ask % is % % % is ask % % % % % is ask 
"Restaurant is ask What is your restaurant?
print 'Welcome to ' Restaurant
Name is ask Waiters name?
print 'My name is ' Name 'and i will be serving you tonight'
Customer is ask What is your name?
print Hi Customer its nice to meet you
Customer1 is ask what is your friends name?
print hi Customer1 its nice to meet you
drink1 is ask What would you like to drink?
drink2 is ask What would you like to drink?
print Great i will be back with one drink1 and one drink2
print Here is your drink1 Customer
print Here is your drink2 Customer1",% is ask % is % % print % % % % % is ask % % print % % is % % % % % % % % % % is ask % is % % print % % % % % % % % is ask % is % % % print % % % % % % % % is ask % % % % % % % is ask % % % % % % print % % % % % % % % % % % print % is % % % print % is % % % 
"restuarant is ask where are  time we eating
myname is ask how can I help you
myname is ask nice to meet you",% is ask % % % % % % is ask % % % % % % is ask % % % % 
"restuarant is ask what time we eating
myname is ask how can I help you
myname is ask nice to meet you",% is ask % % % % % is ask % % % % % % is ask % % % % 
"Restaurant is ask What is your restaurant?
print Welcome to Restaurant
Name is ask Waiters name?
print My name is Name and i will be serving you tonight
Customer is ask What is your name?
print Hi Customer its nice to meet you
Customer1 is ask what is your friends name?
print hi Customer1 its nice to meet you
drink1 is ask What would you like to drink?
drink2 is ask What would you like to drink?
print Great i will be back with one drink1 and one drink2
print '5 minutes later'
print Here is your drink1 Customer
print Here is your drink2 Customer1",% is ask % is % % print % % % % is ask % % print % % is % % % % % % % % % is ask % is % % print % % % % % % % % is ask % is % % % print % % % % % % % % is ask % % % % % % % is ask % % % % % % print % % % % % % % % % % % print % % % print % is % % % print % is % % % 
"oceanbasket is ask what time we eating
myname is ask how can I help you",% is ask % % % % % is ask % % % % % 
"oceanbasket is ask what time we eating
myname is ask michael ",% is ask % % % % % is ask % 
print 'happinses is key',print % is % 
"Game is rock, paper, scissors
Player2 is ask What do you choose rock paper or scissors?
Player1 is Game at random
if Player2 is rock and Player1 is scissors print 'you win'
if Player2 is paper and Player1 is rock print 'You win'
if Player2 is scissors and Player1 is paper print 'You win'
if Player2 is scissors and Player1 is rock print 'You lose'
if Player2 is rock and Player1 is paper print 'You lose'
if Player2 is paper and Player1 is scissors print 'You lose'",% is % % % % is ask % % % % % % % % % is % at random if % is % % % is % print % % if % is % % % is % print % % if % is % % % is % print % % if % is % % % is % print % % if % is % % % is % print % % if % is % % % is % print % % 
"Coin is Heads, tails
AutoChoice is Coin at random
print AutoChoice",% is % % % is % at random print % 
