code,processed_code
"x is green
",% is % 
wachtwoord is ask wat is de toegangscode,% is ask % is % % 
"print 'Hallo ik heet willem'
hij is ask hoe heet jij
print 'hallo ' hij
gevoel is ask gaat het goed of slecht met jouw
if gevoel is goed print 'dat is mooi' else print 'oh dat is niet zo mooi'
antwoord is ask zullen we een potje steen papier schaar doen?
if antwoord is ja print 'oke mooi' else print 'je hebt pecht we gaan het doen'  ",print % % % % % is ask % % % print % % % % is ask % % % % % % % if % is % print % is % else print % % is % % % % is ask % % % % % % % % if % is % print % % else print % % % % % % % 
"print 'Shirin loopt rustig door het bos'
print 'Ze komt een draak tegen'
einde is ask Wil je een goed of slecht einde?
if einde is goed print 'Ze doet een drakendans en de draak vliegt weg' else print 'De draak spuugt vuur en shirin vliegt in brand'",print % % % % % % print % % % % % % is ask % % % % % % % if % is % print % % % % % % % % % else print % % % % % % % % % 
"print 'Hallo ik heet willem'
hij is ask hoe heet jij
print 'hallo ' hij
gevoel is ask gaat het goed of slecht met jouw
if gevoel is goed print 'dat is mooi' else print 'oh dat is niet zo mooi'
antwoord is ask zullen we een potje steen papier schaar doen?
if antwoord is ja print 'oke mooi' else print 'je hebt pecht we gaan het doen'
jouwkeuze is ask wat kies jij?
keuzes is steen, schaar, papier
computerkeuze is keuzes at random
if computerkeuze is schaar and jouwkeuze is papier print 'de computer'
print 'Hallo ik heet willem'
hij is ask hoe heet jij
print 'hallo ' hij
gevoel is ask gaat het goed of slecht met jouw
if gevoel is goed print 'dat is mooi' else print 'oh dat is niet zo mooi'
antwoord is ask zullen we een potje steen papier schaar doen?
if antwoord is ja print 'oke mooi' else print 'je hebt pecht we gaan het doen'
jouwkeuze is ask wat kies jij?
keuzes is steen, schaar, papier
computerkeuze is keuzes at random
if computerkeuze is schaar and jouwkeuze is papier print 'de computer'",print % % % % % is ask % % % print % % % % is ask % % % % % % % if % is % print % is % else print % % is % % % % is ask % % % % % % % % if % is % print % % else print % % % % % % % % is ask % % % % is % % % % is % at random if % is % % % is % print % % print % % % % % is ask % % % print % % % % is ask % % % % % % % if % is % print % is % else print % % is % % % % is ask % % % % % % % % if % is % print % % else print % % % % % % % % is ask % % % % is % % % % is % at random if % is % % % is % print % % 
"print 'De muis loopt door het huis'
print 'Hij loopt om het hoekje'
print 'Hij ziet een stukje kaas wat hij wil hebben, maar daarnaast ligt een kat'
einde is ask Kaas pakken of niet pakken?
if einde is pakken print 'Hij sluipt er naartoe, maar maakt te veel geluid en wordt opgegeten' else 'Hij loopt rustig weg en probeert het een andere keer'",print % % % % % % print % % % % % print % % % % % % % % % % % % % % % is ask % % % % % if % is % print % % % % % % % % % % % % else % % % % % % % % % % 
"print 'De muis loopt door het huis'
print 'Hij loopt om het hoekje'
print 'Hij ziet een stukje kaas wat hij wil hebben, maar daarnaast ligt een kat'
einde is ask Kaas pakken of niet pakken?
if einde is pakken print 'Hij sluipt er naartoe, maar maakt te veel geluid en wordt opgegeten' else print 'Hij loopt rustig weg en probeert het een andere keer'",print % % % % % % print % % % % % print % % % % % % % % % % % % % % % is ask % % % % % if % is % print % % % % % % % % % % % % else print % % % % % % % % % % 
"naam is ask hoe heet jij?
print 'je loopt in het bos'
einde is ask loop je door of niet
if einde is door print 'goede keuze' else print 'je loopt terug en verdrinkt in het moeras'
",% is ask % % % print % % % % % % is ask % % % % % if % is % print % % else print % % % % % % % % 
"naam is ask hoe heet jij?
print 'je loopt in het bos'
einde is ask loop je door of niet
if einde is door print 'goede keuze' else print 'je loopt terug en verdrinkt in het moeras'
laatstedeel is ask vecht je tegen het beest?
if laatstedeel is dood print 'ze vecht tegen het monster en verliest' else print 'ze rent weg en overleeft het'",% is ask % % % print % % % % % % is ask % % % % % if % is % print % % else print % % % % % % % % % is ask % % % % % if % is % print % % % % % % % else print % % % % % % 
"answer is ask Did the cat fall from the roof?
print answer",% is ask % % % % % % % print % 
