class_id,username,is_teacher,gender,time,id,page
,student2,False,m,1707902873235,debug_button,/hedy/2,
,student2,False,m,1707902880146,speak_dropdown,/hedy/2,
,student2,False,m,1707902886973,speak_dropdown,/hedy/2,urn:moz-tts:speechd:English%20(Lancaster)+Denis?en-GB-X-GBCLAN
,student2,False,m,1707902895896,speak_dropdown,/hedy/2,urn:moz-tts:speechd:English%20(Lancaster)+Denis?en-GB-X-GBCLAN
,student2,False,m,1707902897469,speak_dropdown,/hedy/2,urn:moz-tts:speechd:English%20(America)+Robert?en-US
,student2,False,m,1707902899659,speak_dropdown,/hedy/2,urn:moz-tts:speechd:English%20(America)+Robert?en-US
,student2,False,m,1707902901928,speak_dropdown,/hedy/2,urn:moz-tts:speechd:English%20(America)+Miguel?en-US
,student2,False,m,1707902904298,speak_dropdown,/hedy/2,urn:moz-tts:speechd:English%20(America)+Miguel?en-US
,student2,False,m,1707902907167,speak_dropdown,/hedy/2,urn:moz-tts:speechd:English%20(Scotland)+Steph?en-GB-SCOTLAND
,student2,False,m,1707902920635,language-dropdown,/hedy/2,
,user1,False,f,1707903117016,speak_dropdown,/hedy,
,user1,False,f,1707903117680,speak_dropdown,/hedy,
,user1,False,f,1707903144457,speak_dropdown,/hedy,
,user1,False,f,1707903146236,speak_dropdown,/hedy,urn:moz-tts:speechd:English%20(America)+Pedro?en-US
,user1,False,f,1707903168066,debug_button,/hedy/01c1af908479409390cd0c4dc3444eec/view,
,teacher4,True,m,1707906066975,explore_page_level,/explore,2
,teacher4,True,m,1707906069847,explore_page_adventure,/explore,add_remove_command
,teacher4,True,m,1707906136249,public-adventures-link,/for-teachers,
,teacher4,True,m,1707906163415,debug_button,/hedy/01c1af908479409390cd0c4dc3444eec/view,
5c39c2a936f24db1a4935c52fab77cd7,teacher4,True,m,1707906194736,create_class_button,/for-teachers,
5c39c2a936f24db1a4935c52fab77cd7,teacher4,True,m,1707906202489,create_class_button,/for-teachers,
5c39c2a936f24db1a4935c52fab77cd7,teacher4,True,m,1707906294261,live_stats_button,/for-teachers/class/5c39c2a936f24db1a4935c52fab77cd7,
5c39c2a936f24db1a4935c52fab77cd7,teacher4,True,m,1707906298799,go_back_to_teacher_page_button,/for-teachers/class/5c39c2a936f24db1a4935c52fab77cd7,
