code,level,processed_code
"x is 'green'
",4,% is % 
"x is green
if x is green print 'pretty!' else print 'meh'",4,% is % if % is % print % % print % 
"animal is ask What is your favorite animal?
if animal is cat print 'nice!' else print 'meh'",4,% is ask % is % % % if % is % print % % print % 
print 'jhghg',4,print % 
"code is ask number1...
if code is 7 print 'correct!' else 'restart'
code2 is ask number2
if code2 is 2 print 'correct!' else 'restart'
",4,% is ask % if % is % print % % % % is ask % if % is % print % % % 
"answer is ask Did the cat fall from the roof?
print answer",4,% is ask % % % % % % % print % 
"answer is ask Did the cat fall from the roof?
if answer is yes print 'ciao'",4,% is ask % % % % % % % if % is % print % 
"answer is ask Did the cat fall from the roof?
if answer is nearly print 'ok' else print 'no'",4,% is ask % % % % % % % if % is % print % % print % 
print 'hello welcome at home.',4,print % % % % 
print hello world,4,print % % 
"choice is ask Would you like to step into my parlor?
if choice is 'yes' print 'then come' else print 'then get away from my sight'",4,% is ask % % % % % % % % if % is % print % % % print % % % % % % 
"choice is ask Would you like to step into my parlor?
if choice is yes print 'Then come, little one.' else print 'Then get away from my sight.'",4,% is ask % % % % % % % % if % is % print % % % % % print % % % % % % 
"male is ask hello?
print 'Yes ' male",4,% is ask % print % % % 
"name is ask what is your name?
if name is cowman print 'cool!' else print 'meh'",4,% is ask % is % % if % is % print % % print % 
"food is what is your favorite food?
if food is Pizza print 'cool!' else print 'meh'",4,% is % is % % % if % is % print % % print % 
"pet is cat
if pet is cat print 'cute' else 'no'",4,% is % if % is % print % % % 
"car is ask What is your favorite car?
print car ' is your favorite!'",4,% is ask % is % % % print % % is % % 
"green is ask What is your favorite color?
print green 'is your favorite!'",4,% is ask % is % % % print % % % % 
name is ask what is your name?                                                      name is 'Khomotso',4,% is ask % is % % % is % 
"food is please tell us what you think?
if food is Pizza print 'cool!' else print 'yes'",4,% is % % % % % % if % is % print % % print % 
"value is ask enter a number
value is value * 10
print ' the value is ' value",4,% is ask % % % % is % * % print % % % is % % 
"greeting is ask how are you?
if greeting is fine print 'great!' else print 'oh no'",4,% is ask % % % if % is % print % % print % % 
"pet is ask what is your favorite pet?
if pet is tiger print ' not appropriate fam' else print ' so cute'",4,% is ask % is % % % if % is % print % % % % % print % % % 
"pet is ask what is your favorite pet?
if pet is tiger print ' not appropriate fam' else print ' nice'",4,% is ask % is % % % if % is % print % % % % % print % % 
"name is ask What do you want to her?
if name is Rory print 'thats a cool name' else print 'okay'",4,% is ask % % % % % % if % is % print % % % % % print % 
"Q1 is ask True or false, is the earth flat?
if Q1 is True print 'correct' else print 'stupid'
",4,% is ask % % % is % % % if % is % print % % print % 
"question1 is ask Is the earth flat?
if question1 is Yes print 'idiot' else print 'clever'",4,% is ask % % % % if % is % print % % print % 
"number is 3
if number is 3 print number",4,% is % if % is % print % 
"number is 1 2 3
if number is 3 print number",4,% is % % % if % is % print % 
"number is 1 2 3
print number",4,% is % % % print % 
"number is 3
print number",4,% is % print % 
"print 'print'
print 'ask'
print 'if'",4,print % print % print % 
"player1 is Rock, Paper, Scissors
print player1 at random",4,% is % % % print % % % 
"player1 is Rock, Paper, Scissors
player2 is ask Please input a move?
print 'player1 at random'",4,% is % % % % is ask % % % % print % % % 
"player1 is Rock, Paper, Scissors
player2 is ask Input a move?
",4,% is % % % % is ask % % % 
"meal is ask What will you like to eat?
if meal is Pizza print 'Delicious'",4,% is ask % % % % % % if % is % print % 
"food is ask food?
if food is pizza print 'jump' 
",4,% is ask % if % is % print % 
"food is ask food?
if food is pizza print 'jump' else print 'mmmm'
",4,% is ask % if % is % print % % print % 
"Location is ask Enter location
print 'Welcome to' Location
",4,% is ask % % print % % % 
"name is ask what is your name?
",4,% is ask % is % % 
