code,level,processed_code
"dieren is hond, kat, kangoeroe
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"naam is Hedy
print ik heet naam",2,% % % % is % % % % print % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
print Jouw favoriet is dus kleur",2,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % is % % % % % % % % 
"dieren is hond, kat, kangoeroe
print dieren at random
dieren is paard, poes, bever
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"name is Hedy
print welcome name",2,% % % % is % % % % print % % % % % % % % % % % 
print hello world!,2,print % % % % % % % % % % % 
"animals is dog, cat, kangaroo
print animals at random",2,% % % % % % % is % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % 
"color is ask What is your favorite color?
print color is your favorite!",2,% % % % % is ask % % % % is % % % % % % % % % % % % % % % % % % print % % % % % is % % % % % % % % % % % % % 
"animales is perro, gato, canguro
print animales at random",2,% % % % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % 
"dieren is hond, kat, kangoeroe, kut
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"animals is dog, cat, kangaroo
color is ask What is your favorite color?
print color
print animals",2,% % % % % % % is % % % % % % % % % % % % % % % % % % % % % is ask % % % % is % % % % % % % % % % % % % % % % % % print % % % % % print % % % % % % % 
"animals is dog, cat, kangaroo
color is ask What is your favorite color?
print color",2,% % % % % % % is % % % % % % % % % % % % % % % % % % % % % is ask % % % % is % % % % % % % % % % % % % % % % % % print % % % % % 
name is Hedy,2,% % % % is % % % % 
"animals is dog, cat, kangaroo
print animals at random
yn is ask Is animals at random your favorite animal",2,% % % % % % % is % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % is ask % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"naam is stijn
print ik heet naam",2,% % % % is % % % % % print % % % % % % % % % % 
"lol is steen, papier, schaar
print lol at random",2,% % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % 
"dieren is steen, papier, schaar
print lol at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % 
"dieren is steen, papier, schaar
print at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % 
"dieren is steen, papier, schaar
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"print hallo wereld!
keuzes is steen, schaar, papier",2,print % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % 
print hallo wereld!,2,print % % % % % % % % % % % % 
"color is ask What is your favorite color?
print your favorite color is color",2,% % % % % is ask % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % is % % % % % 
"color is ask What is your favorite color
print color is your favorite!",2,% % % % % is ask % % % % is % % % % % % % % % % % % % % % % % print % % % % % is % % % % % % % % % % % % % 
"dieren is hond, kat, kangoeroe
print dieren",2,% % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % 
"color is ask Cual es tu color favorito?
print Tu favorito es color!",2,% % % % % is ask % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % 
"dieren is hond, kat, kangoeroe, paard
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"na is Rald
print ik heet na",2,% % is % % % % print % % % % % % % % 
"na is Ronald
print ik heet na",2,% % is % % % % % % print % % % % % % % % 
"naam is Ronald
print ik heet naam",2,% % % % is % % % % % % print % % % % % % % % % % 
print hola mundo!,2,print % % % % % % % % % % 
"x is y
print x",2,% is % print % 
x is x,2,% is % 
"color is ask x?
print color",2,% % % % % is ask % % print % % % % % 
"color is ask x?
print colorddx",2,% % % % % is ask % % print % % % % % % % % 
"color is ask x?
print colord",2,% % % % % is ask % % print % % % % % % 
print x,2,print % 
"dieren is hond, kat, kangoeroe, haan, kikker, hyena
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
print Jouw favoriete kleur is dus kleur",2,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % is % % % % % % % % 
"naam is ask Wat is je roepnaam?
print Jouw roepnaam is dus naam",2,% % % % is ask % % % is % % % % % % % % % % % print % % % % % % % % % % % % is % % % % % % % 
"naam is ask Wat is je naam?
print Jouw naam is dus naam",2,% % % % is ask % % % is % % % % % % % print % % % % % % % % is % % % % % % % 
"animales is perro, gato, canguro
print animales",2,% % % % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % 
"dieren is hond, kat, kangoeroe, cavia, konijn, hamster
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
print hallo wereld! wat is je lievelingskleur?,2,print % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % 
print hallo wereld! wat is je lievelingskleur,2,print % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % 
"c is Emma
a is is
b is zij
print b a c",2,% is % % % % % is is % is % % % print % % % 
"dieren is hond, kat, kangoeroe, vogel, koe, slang, kip
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"print hallo wereld!
print test",2,print % % % % % % % % % % % % print % % % % 
"naam is Hedy
print ik heet wouter",2,% % % % is % % % % print % % % % % % % % % % % % 
"dieren is hond, kat, kangoeroe
print dieren random",2,% % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % 
"mensen is mama, papa, Emma, Sophie
print mensen at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"keuzes is 1,2,3,4,5,6
print keuzes at random",2,% % % % % % is % % % % % % % % % % % print % % % % % % % % % % % % % % 
kleur is ask wat is je lievelingskleur,2,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % 
"boom is finn
naam is eik
print ik heet boom
print dat is een naam",2,% % % % is % % % % % % % % is % % % print % % % % % % % % % % print % % % is % % % % % % % 
"mensen is mama, papa, tijn, lars
print keuze at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % 
"keuze is steen, papier, schaar
print keuze at random",2,% % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % 
"keuze is steen, papier, schaar
print keuzes at random",2,% % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"dieren is kanarie, aap, kip, hond, varken
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"dieren is kanarie, aap, kip
print dieren at random",2,% % % % % % is % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"dieren is kanarie, aap, kip",2,% % % % % % is % % % % % % % % % % % % % % % 
"name is Meliha
print welcome name",2,% % % % is % % % % % % print % % % % % % % % % % % 
"print een kat is een dieren
dieren is kat",2,print % % % % % % is % % % % % % % % % % % % % % % is % % % 
"naam is Hedy, Sander, Henk
print ik heet naam",2,% % % % is % % % % % % % % % % % % % % % % print % % % % % % % % % % 
"dieren is hond, kat, kangoeroe
print dieren at random
andere is hoi, dingen, leef
print andere at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"keuzes is steen, papier, schaar
print keuzes at random
keuzes is steen, papier, schaar
print keuzes at random",2,% % % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
