code,level,processed_code
"print 'De prinses loopt door het bos'
print 'Ze komt een monster tegen'
einde is ask Wil je een goed of slecht einde?
if einde is goed print 'Ze pakt haar zwaard en het monster rent snel weg' else print 'Het monster eet de prinses op'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % is ask % % % % % % % % % % % % % % % % % % % % % % % % % % if % % % % % is % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % else print % % % % % % % % % % % % % % % % % % % % % % % % % % 
"naam is ask Hoe heet jij?
if naam is Felienne print 'ok jij mag computeren' else print 'verboden toegang voor jou'",4,% % % % is ask % % % % % % % % % % % if % % % % is % % % % % % % % print % % % % % % % % % % % % % % % % % % % % else print % % % % % % % % % % % % % % % % % % % % % % % % 
"naam is ask hoe heet jij?
if naam is Hedy print 'leuk' else print 'minder leuk!'",4,% % % % is ask % % % % % % % % % % % if % % % % is % % % % print % % % % % % else print % % % % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
if kleur is groen print 'mooi!' else print 'niet zo mooi'",4,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % % print % % % % % % % else print % % % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
print 'Jouw favoriet is dus ' kleur",4,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % is % % % % % % % % % 
print 'Hallo welkom bij Hedy',4,print % % % % % % % % % % % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
if kleur is orange print 'mooi!' else print 'ook mooi hoor maar niet zo heel mooi'",4,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % % % print % % % % % % % else print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"naam is ask Hoe heet jij?
if naam is addd print 'ok jij mag computeren' else print 'verboden toegang voor jou'",4,% % % % is ask % % % % % % % % % % % if % % % % is % % % % print % % % % % % % % % % % % % % % % % % % % else print % % % % % % % % % % % % % % % % % % % % % % % % 
"piet is ask Wie is de hoofdpersoon van dit verhaal?
print 'Jouw hoofdpersoon is dus ' piet
print 'leuke hoofdpersoon'
geslacht is ask is de hoofdpersoon een meisje of een jongen?
print 'Er was eens een geslacht'
print 'het geslacht was heel erg lief en verlegen'",4,% % % % is ask % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % is % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % is ask is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"piet is ask Wie is de hoofdpersoon van dit verhaal?
print 'Jouw hoofdpersoon is dus ' piet
print 'leuke hoofdpersoon'
geslacht is ask is de hoofdpersoon een meisje of een jongen?
print 'Er was eens een geslacht'",4,% % % % is ask % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % is % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % is ask is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % 
"piet is ask Wie is de hoofdpersoon van dit verhaal?
print 'Jouw hoofdpersoon is dus ' piet
print 'leuke hoofdpersoon'
geslacht is ask is de hoofdpersoon een meisje of een jongen?
",4,% % % % is ask % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % is % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % is ask is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"piet is ask Wie is de hoofdpersoon van dit verhaal?
print 'Jouw hoofdpersoon is dus ' piet
print 'leuke hoofdpersoon'
geslacht is ask is piet een meisje of een jongen?
",4,% % % % is ask % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % is % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % is ask is % % % % % % % % % % % % % % % % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
print 'Jouw favoriet is dus ' kleur
print 'leuk'
mooi is ask Wat is de hoofdpersoon?",4,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % is % % % % % % % % % print % % % % % % % % % % is ask % % % is % % % % % % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
print 'Jouw favoriet is dus ' kleur
print 'lol'",4,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % is % % % % % % % % % print % % % % % 
"print 'hey'
print 'ffff'
",4,print % % % % % print % % % % % % 
"naam is ask hoe heet jij?
if naam is Adrienne print 'super mooie naam' else print 'niet leuk!'",4,% % % % is ask % % % % % % % % % % % if % % % % is % % % % % % % % print % % % % % % % % % % % % % % % % else print % % % % % % % % % % % 
"naam is ask hoe heet jij?
if naam is Adrienne print 'leuk' else print 'minder leuk!'",4,% % % % is ask % % % % % % % % % % % if % % % % is % % % % % % % % print % % % % % % else print % % % % % % % % % % % % % 
"jouwkeuze is ask wat kies jij
keuzes is steen,schaar,papier
computerkeuze is keuzes at random
if computerkeuze is schaar and jouwkeuze is papier print 'de computer wint'
if computerkeuze is schaar and jouwkeuze is steen print 'jij wint'",4,% % % % % % % % % is ask % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % if % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % is % % % % % % print % % % % % % % % % % % % % % % % if % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % is % % % % % print % % % % % % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat.'
print '       kast speelt gelijk tegen boom'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'
print '3. doos'
print '       doos wint van boom'
print '       doos verliest van kat kast hond'
print '4. hond'
print '       hond wint van kat en doos'
print '       hond verliest van kast en boom'
print '5. boom'
print '       boom wint van hond'
print '       boom verliest van doos'
print '       boom speelt gelijk tegen kast en'
print '       kat'
print ' '
print ' '
k is ask welke keuze kies je?",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % print % % print % % % is ask % % % % % % % % % % % % % % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat.'
print '       kast speelt gelijk tegen boom'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'
print '3. doos'
print '       doos wint van boom'
print '       doos verliest van kat kast hond'
print '4. hond'
print '       hond wint van kat en doos'
print '       hond verliest van kast en boom'
print '5. boom'
print '       boom wint van hond'
print '       boom verliest van doos'
print '       boom speelt gelijk tegen kast en                kat'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"wachtwoord is ask wat is de toegangscode
if wachtwoord is PEPINO30 print 'welkom' else print 'fout'
print ' '
print ' '
print ' '
print ' '
print ' '
print ' '
print ' '
print ' '
print ' '
print ' '
print ' '",4,% % % % % % % % % % is ask % % % is % % % % % % % % % % % % % % if % % % % % % % % % % is % % % % % % % % print % % % % % % % % else print % % % % % % print % % print % % print % % print % % print % % print % % print % % print % % print % % print % % print % % 
"kleur is ask Wat is je lievelingskleur?
if kleur is bami print 'omnomnom' else print 'fijn voor jou'",4,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % print % % % % % % % % % % else print % % % % % % % % % % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat.'
print '       kast speelt gelijk tegen boom'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'
print '3. doos'
print '       doos wint van boom'
print '       doos verliest van kat kast hond'
print '4. hond'
print '       hond wint van kat en doos'
print '       hond verliest van kast en boom'
print '5. boom'
print '       boom wint van'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat.'
print '       kast speelt gelijk tegen boom'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'
print '3. doos'
print '       doos wint van boom'
print '       doos verliest van kat kast hond'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat.'
print '       kast speelt gelijk tegen boom'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'
print '3. doos'
print '       doos wint van boom'
print '       doos verliest van kat kast en hond'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"wachtwoord is ask wat is de toegangscode
if wachtwoord is PEPINO30 print 'welkom' else print 'fout'",4,% % % % % % % % % % is ask % % % is % % % % % % % % % % % % % % if % % % % % % % % % % is % % % % % % % % print % % % % % % % % else print % % % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat.'
print '       kast speelt gelijk tegen boom'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'
print '3. doos'
print '       doos wint van boom'
print '       doos verliest van kat en kast en hond'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % print % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"k is ask kies een getal
if k is 1 print '1'
if k is 2 print '2' else print 'fout'",4,% is ask % % % % % % % % % % % % if % is % print % % % if % is % print % % % else print % % % % % % 
"k is ask kies een getal
if k is 1 print '1' else if k is 2 print '2' else print 'fout'",4,% is ask % % % % % % % % % % % % if % is % print % % % else if % is % print % % % else print % % % % % % 
"k is ask kies een getal
if k is 1 print '1' else print 'fout'",4,% is ask % % % % % % % % % % % % if % is % print % % % else print % % % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat en boom.'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'
print '3. doos'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % .% print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % .% % % % % 
"print 'welkom bij kast kat doos hond boom'
print 'het is een soort steen papier schaar maar dan met 5 dingen'
print 'hier nog even de regels'
print ' '
print '1. kast'
print '       kast wint van doos en hond.'
print '       kast verliest van kat en boom.'
print '2. kat'
print '       kat wint van doos en kast'
print '       kat verliest van hond'
print '       kat speelt gelijk tegen boom'",4,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % print % % print % % .% % % % % print % % % % % % % % % % % % % % % % % % % % % % .% print % % % % % % % % % % % % % % % % % % % % % % % % % .% print % % .% % % % print % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % 
"k is ask kies een getal
if k is 1 and k is 2 print '7' else print 'fout'",4,% is ask % % % % % % % % % % % % if % is % % % % % is % print % % % else print % % % % % % 
