code,level,processed_code
ask Wat is je lievelingskleur?,1,ask % % % is % % % % % % % % % % % % % % % % % % 
print Hallo welkom bij Hedy!,1,print % % % % % % % % % % % % % % % % % % % 
print hallo wereld!,1,print % % % % % % % % % % % % 
"ask Wat is je lievelingskleur?
echo dus je lievelingskleur is...",1,ask % % % is % % % % % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % % % % % % % % ...
echo dus je kleur is,1,echo % % % % % % % % % % is 
ask hallo?,1,ask % % % % % % 
"print hoi
print hoi hoi",1,print % % % print % % % % % % 
ask What is your favorite color?,1,ask % % % % is % % % % % % % % % % % % % % % % % % 
"ask What is your favorite color?
echo so your favorite color is...",1,ask % % % % is % % % % % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % % % % % % % ...
print hello world!,1,print % % % % % % % % % % % 
"print Hoi ik ben Steven!
print Wat is je lievelingskleur?",1,print % % % % % % % % % % % % % % % print % % % is % % % % % % % % % % % % % % % % % % 
print Hoi ik ben Steven!,1,print % % % % % % % % % % % % % % % 
ask Why,1,ask % % % 
"ask x?
print add x 1",1,ask % % print % % % % % 
"ask x?
print x",1,ask % % print % 
ask x?,1,ask % % 
print Hallo Ad!,1,print % % % % % % % % 
"ask What is your favorite color?
echo so your favorite color is ",1,ask % % % % is % % % % % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % % % % % is 
echo so your favorite color is answer,1,echo % % % % % % % % % % % % % % % % % % % is % % % % % % 
echo so your favorite color is ,1,echo % % % % % % % % % % % % % % % % % % % is 
ask What is your favourite color?,1,ask % % % % is % % % % % % % % % % % % % % % % % % % 
"print hallo mama en  papa en opa 
print de hond lopt in de wei",1,print % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % 
print hallo mama en  papa en opa en oma  en willem,1,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
print hallo mama en  papa en opa en oma,1,print % % % % % % % % % % % % % % % % % % % % % % % % % 
print hallo mama,1,print % % % % % % % % % 
print a,1,print % 
"ask Whats your name?
echo Hi ",1,ask % % % % % % % % % % % % % % echo % % 
"ask Whats your name
echo Hi.",1,ask % % % % % % % % % % % % % echo % % .
"print Hallo welkom bij Hedy!
ask wie is de liefste moeder
echo dus het is ",1,print % % % % % % % % % % % % % % % % % % % ask % % % is % % % % % % % % % % % % % % % echo % % % % % % is 
"print Hallo welkom bij Hedy!
ask wie is de liefste moeder",1,print % % % % % % % % % % % % % % % % % % % ask % % % is % % % % % % % % % % % % % % % 
"ask kan jij dit goed?
echo jouw antwoord was ...",1,ask % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % ...
"ask 12 maal 13 is
echo het is 156",1,ask % % % % % % % % is echo % % % is % % % 
"ask Wat is je lievelingskleur?
echo dus je lievelingskleur is...
ask echt waar jo
echo oke het het is tog ",1,ask % % % is % % % % % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % % % % % % % % ...ask % % % % % % % % % % echo % % % % % % % % % is % % % 
"print Hallo welkom bij Hedy!
print welkon",1,print % % % % % % % % % % % % % % % % % % % print % % % % % % 
"print hello world!
print blah blah
print shitty",1,print % % % % % % % % % % % print % % % % % % % % print % % % % % % 
"print hello world!
print blah blah",1,print % % % % % % % % % % % print % % % % % % % % 
ask Cual es el personaje principal de tu historia?,1,ask % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"ask Wat is je lievelingskleur?
echo dus je lievelingseten is...",1,ask % % % is % % % % % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % % % % % % % ...
ask Wat is je lievelingseten?,1,ask % % % is % % % % % % % % % % % % % % % % % 
print Hallo Ymke welkom bij Hedy!,1,print % % % % % % % % % % % % % % % % % % % % % % % 
"ask Wat is je lievelingskleur?
echo dus je lievelingskleur is rood",1,ask % % % is % % % % % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % % % % % % is % % % % 
ask Wat is je lievelingskleur? rood,1,ask % % % is % % % % % % % % % % % % % % % % % % % % % % 
"print tieten
print cheetah
print groen
ask hoe heet jij?
echo hallo...
echo hallo...wat is jou ",1,print % % % % % % print % % % % % % % print % % % % % ask % % % % % % % % % % % echo % % % % % ...echo % % % % % ...% % % is % % % 
"print tieten
print cheetah
print groen
ask hoe heet jij?
echo hallo...",1,print % % % % % % print % % % % % % % print % % % % % ask % % % % % % % % % % % echo % % % % % ...
"print tieten
print cheetah
print groen
ask hoe heet jij?",1,print % % % % % % print % % % % % % % print % % % % % ask % % % % % % % % % % % 
"print tieten
print cheetah
print groen",1,print % % % % % % print % % % % % % % print % % % % % 
"print tieten
print cheetah",1,print % % % % % % print % % % % % % % 
print tieten,1,print % % % % % % 
print hallo Mette,1,print % % % % % % % % % % 
print Hola bienvenido a Hedy!,1,print % % % % % % % % % % % % % % % % % % % % 
echo entonces su color favorito es...,1,echo % % % % % % % % % % % % % % % % % % % % % % % % % ...
"ask Wat is je lievelingskleur?
echo dus je lievelingskleur is...
ask hoor je mij?",1,ask % % % is % % % % % % % % % % % % % % % % % % echo % % % % % % % % % % % % % % % % % % % % % % ...ask % % % % % % % % % % 
"print hallo wereld!
ask wat is je haarkleur
print het is coronatime",1,print % % % % % % % % % % % % ask % % % is % % % % % % % % % % % print % % % is % % % % % % % % % % 
"print hallo wereld!
ask wat is je haarkleur",1,print % % % % % % % % % % % % ask % % % is % % % % % % % % % % % 
print hello this is Hedy!,1,print % % % % % % % % % is % % % % % 
