code,level,processed_code
print 'hallo wereld',3,print % % % % % % % % % % % % % 
"naam is Maartje
print 'ik heet ' naam",3,% % % % is % % % % % % % print % % % % % % % % % % % % 
"print 'hallo wereld'
print 'ik ben Maartje'",3,print % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
print 'Jouw favoriet is dus ' kleur",3,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % is % % % % % % % % % 
"leeftijd is ask Wat is je leeftijd?
print 'Jouw favoriet is dus ' leftijd",3,% % % % % % % % is ask % % % is % % % % % % % % % % % print % % % % % % % % % % % % % is % % % % % % % % % % % 
"leeftijd is ask Wat is je lievelingskleur?
print 'Jouw favoriet is dus ' kleur",3,% % % % % % % % is ask % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % is % % % % % % % % % 
"color is ask What is your favorite color?
print color ' is your favorite!'",3,% % % % % is ask % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % is % % % % % % % % % % % % % % 
print 'Hello world',3,print % % % % % % % % % % % % 
"name is Hedy
print 'my name is ' name",3,% % % % is % % % % print % % % % % % % is % % % % % 
print 'Hello welcome to Hedy.',3,print % % % % % % % % % % % % % % % % % % % .% 
"naam is Likmereet
print 'ik heet ' naam",3,% % % % is % % % % % % % % % print % % % % % % % % % % % % 
"naam is Hedy
print 'ik heet ' naam",3,% % % % is % % % % print % % % % % % % % % % % % 
print 'Lik me reet',3,print % % % % % % % % % % % 
"print 'Hello world'
color is ask What is your favorite color?",3,print % % % % % % % % % % % % % % % % % is ask % % % % is % % % % % % % % % % % % % % % % % % 
"print 'hallo wereld'
color is ask Color?
print color is your favorite color",3,print % % % % % % % % % % % % % % % % % % is ask % % % % % % print % % % % % is % % % % % % % % % % % % % % % % % 
"print 'hallo wereld'
color is ask Color?
print color",3,print % % % % % % % % % % % % % % % % % % is ask % % % % % % print % % % % % 
"color is ask What is your favorite color
print color ' is your favorite!'",3,% % % % % is ask % % % % is % % % % % % % % % % % % % % % % % print % % % % % % is % % % % % % % % % % % % % % 
"print 'hallo wereld'
dieren is hond, kat, kangoeroe
print dieren at random",3,print % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
print 'Hallo welkom bij Hedy',3,print % % % % % % % % % % % % % % % % % % % % 
"naam is julia
print 'ik heet' naam",3,% % % % is % % % % % print % % % % % % % % % % % % 
"keuzes is steen, papier, schaar
print 'en de winaar is' keuzes random at",3,% % % % % % is % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
naam is julia,3,% % % % is % % % % % 
"naam is julia
print 'ik heet julia' naam",3,% % % % is % % % % % print % % % % % % % % % % % % % % % % % 
print 'hoi ik ben julia',3,print % % % % % % % % % % % % % % % 
print 'Hallo welkom bij Hedy de les voor de progameertaal',3,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
print 'Hallo welkom bij Hedy de progameertaal',3,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"naam is Jan
print 'ik ben ' naam",3,% % % % is % % % print % % % % % % % % % % % 
"naam is Hedy
print 'mijn naam is dus ' naam",3,% % % % is % % % % print % % % % % % % % % is % % % % % % % % 
"print 'hallo wereld'
print 'het is mij wat'",3,print % % % % % % % % % % % % % print % % % % is % % % % % % % 
print x,3,print % 
