code,processed_code
"for i in range 1 to 3:
    for j in range 1 to 5:
    print 'we zitten nu in rondje: ' i ' en de tel is: ' j",% % % % % % % % % % % % % % print % % % % % % % % % % % % % % 
"for i in range 1 to 3:
    for j in range 1 to 5:
    print 'we zitten nu in rondje ' i ' en de tel is ' j",% % % % % % % % % % % % % % print % % % % % % % % % % % is % % 
"for i in range 1 to 3:
     for j in range 1 to 5:
     print 'we zitten nu in ronde: ' i ' en tel: ' j",% % % % % % % % % % % % % % print % % % % % % % % % % % % 
"kleur is ask Welke kleur?
if kleur is groen:
    print 'De kleur is groen'
elif kleur is paars:
    print 'De kleur paars'
else:
    print 'De kleur is anders'",% is ask % % % % is % print % % is % % % is % print % % % % print % % is % 
"print 'Je mag kiezen uit rood, geel of blauw'
kleureen is ask Welke kleur kies je?
kleurtwee is ask Met welke kleur wil je dat mengen?
print 'Jij kiest ' kleureen ' en ' kleurtwee",print % % % % % % % % % is ask % % % % % is ask % % % % % % % print % % % % % % % % 
"print 'Je mag kiezen uit rood, geel of blauw'
kleureen is ask Welke kleur kies je?
kleurtwee is ask Met welke kleur wil je dat mengen?
print 'Jij kiest ' kleureen 'en ' kleurtwee",print % % % % % % % % % is ask % % % % % is ask % % % % % % % print % % % % % % % 
"kleur is ask Wat is kleur?
if kleur is blauw:
    print 'Je koos blauw'
else:
    print 'Je koos iets anders'",% is ask % is % % % is % print % % % % print % % % % 
kleur is ask welke kleur?,% is ask % % 
"kleur is ask Wat is kleur?
if kleur is blauw:
    print 'Je koos blauw'",% is ask % is % % % is % print % % % 
"print 'Je mag kiezen uit rood, geel of blauw'
kleureen is ask Welke kleur kies je?
kleurtwee is ask Met welke kleur wil je dat mengen?",print % % % % % % % % % is ask % % % % % is ask % % % % % % % 
"kleureen is ask Welke kleur kies je rood geel of blauw?
kleurtwee is ask Met welke kleur wil je dat mengen?",% is ask % % % % % % % % % is ask % % % % % % % 
"kleureen is ask Welke kleur kies je?
kleurtwee is ask Met welke kleur wil je dat mengen?",% is ask % % % % % is ask % % % % % % % 
"kleureen is ask Welke kleur kies je rood, geel of blauw?
kleurtwee is ask Met welke kleur wil je dat mengen rood, geel of blauw?",% is ask % % % % % % % % % is ask % % % % % % % % % % % 
kleureen is ask Welke kleur kies je: rood geel of blauw?,% is ask % % % % % % % % 
kleureen is ask Welke kleur kies je?,% is ask % % % % 
"for i in range 1 to 3:
    for j in range 1 to 5:
    print Hi
    print 'we zitten nu in rondje: ' i ' en de tel is: ' j",% % % % % % % % % % % % % % print % print % % % % % % % % % % % % % % 
