code,processed_code
print hola mundo!,print % % 
print Hallo welkom bij Hedy!,print % % % % 
ask Wat is je lievelingskleur?,ask % % % % 
"ask Wat is je lievelingskleur?
echo dus je lievelingskleur is",ask % % % % echo % % % % 
"print hallo wereld!
ask kan Juul even rustig doen?",print % % ask % % % % % 
"print hallo wereld!
ask kan Juul even rustig doen?
echo dus je kan het wel?",print % % ask % % % % % echo % % % % % 
"print hallo wereld!
ask kan Juul even rustig doen?
echo dus je kan het wel?
echo zeker weten?
",print % % ask % % % % % echo % % % % % echo % % 
"print hallo wereld!
ask kan Juul even rustig doen?
echo dank je!
",print % % ask % % % % % echo % % 
"print paw patrol
print wat is jou liefelings pup",print % % print % % % % % 
ask Hoe heet Bowser Tina Kaboom,ask % % % % % 
"print Elin is Boos
print Elin wordt nu weer blij",print % % % print % % % % % 
ask Wie is piggy?,ask % % % 
ask gaXHKKKKKXbahawgsxkjbs,ask % 
"ask gaXHKKKKKXbahawgsxkjbs
echo he! wat betekent dat?",ask % echo % % % % 
"ask Wie is de hoofdpersoon?
print De hoofd persoon zit in Piggy",ask % % % % print % % % % % % 
"ask Wie is de hoofdpersoon?
print De hoofd persoon zit in Piggys huis",ask % % % % print % % % % % % % 
"print Hallo welkom bij Hedy!
ask Wat is je lievelingskleur?",print % % % % ask % % % % 
print ask Wat is je lievelingskleur?,print ask % % % % 
"print ask Wat is je lievelingskleur?
echo dus je hebt geen lievelings kleur eh!",print ask % % % % echo % % % % % % % 
"print ask Wat is je lievelingskleur?
echo dus je lievelingskleur is paars?",print ask % % % % echo % % % % % 
"print hallo wereld!
echo test",print % % echo % 
print ik ga testen,print % % % 
"print Wij gaan wandelen
ask waar wil je heen?
echo Dus je wilt naar het ask",print % % % ask % % % % echo % % % % % ask 
"print Wij gaan wandelen
ask waar wil je heen?
echo Dus je wilt naar het ",print % % % ask % % % % echo % % % % % 
"print Wij gaan wandelen
ask waar wil je heen?
echo Dus je wilt naar ",print % % % ask % % % % echo % % % % 
"ask Hoe gaat het
echo dus het gaat ",ask % % % echo % % % 
"ask de hoofdpersoon dit verhaal is super sini
print hallo
echo hlo
",ask % % % % % % % print % echo % 
print hallo ,print % 
"ask hoe lang is een chinees 
echo dat klopt 
",ask % % % % % echo % % 
"ask hoe lang is een chinees 
echo dat klopt echo echo
",ask % % % % % echo % % echo echo 
"print hallo wereld!
ask wat is de hoofdpersoon",print % % ask % % % % 
echo hallo wereld,echo % % 
print Pim is aan het spelen,print % % % % % 
"print Pim is aan het spelen.
ask wat doet hij",print % % % % % ask % % % 
"ask wie is de hoofdpersoon
print hoi ik ben",ask % % % % print % % % 
