code,processed_code
print '5 keer 5 is ' 5 * 5,print % % % is % % * % 
"keuzes is 1, 2, 3, 4, 5, regenworm
worp is keuzes at random
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",% is % % % % % % % is % at random print % % % % if % is % % is % + % else % is % + % 
"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",% is % % % % % % % is % % is % at random print % % % % if % is % % is % + % else % is % + % 
if poep is foutje print diaree,if % is % print % 
ask is ask poep,ask is ask % 
"ask is ask poep
k is ask ask poep",ask is ask % % is ask ask % 
"d is ask poep
k is ask d poep
l is ask k d poep
f is ask l k d poep",% is ask % % is ask % % % is ask % % % % is ask % % % % 
print dikke vette punt,print % % % 
"print 'dikke vette punt'
l is ask peop",print % % % % is ask % 
print hoi,print % 
"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp worp worp worp worp worp worp worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",% is % % % % % % % is % % is % at random print % % % % % % % % % % % if % is % % is % + % else % is % + % 
"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",% is % % % % % % % is % % is % at random print % % % % % is % % % % % % print % % % % if % is % % is % + % else % is % + % 
"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",% is % % % % % % % is % % is % at random print % % % % % is % % % % % % print % % % % % is % % % % % % print % % % % % is % % % % % % print % % % % if % is % % is % + % else % is % + % 
"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regen
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regen
h is keues at random
print 'je gooide ' h
if worp is regenworm punten is punten + 5 else punten is punten + worp",% is % % % % % % % is % % is % at random print % % % % % is % % % % % % % is % at random print % % % % % is % % % % % % % is % at random print % % % % % is % % % % % % % is % at random print % % % % if % is % % is % + % else % is % + % 
"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h",% is % % % % % % % is % % is % at random print % % % % % is % % % % % % % is % at random print % % % % % is % % % % % % % is % at random print % % % % % is % % % % % % % is % at random print % % % % 
