code,processed_code
"print hallo wereld!
print Dit is een verhaal
print Over Jan",print % % print % is % % print % % 
"print hallo wereld!
print Dit is een verhaal
print Over Jan
print Jan loopt in het bos",print % % print % is % % print % % print % % % % % 
"print hallo wereld!
print Dit is een verhaal
print Over Jan
print Jan loopt in het bos
ask Is hij blij",print % % print % is % % print % % print % % % % % ask % % % 
"print hallo wereld!
ask de hoofdpersoon is

",print % % ask % % is 
"print hallo wereld!
print Dit is een verhaal
print een verhaal over Jan",print % % print % is % % print % % % % 
"print hallo wereld!
print Dit is een verhaal
print een verhaal over Jan
print Jan loopt in het bos",print % % print % is % % print % % % % print % % % % % 
"print hallo wereld!
print Dit is een verhaal
print een verhaal over Jan
print Jan loopt in het bos
echo Hij is wel een beetje",print % % print % is % % print % % % % print % % % % % % % is % % % 
"print hallo wereld!
print Dit is een verhaal
print een verhaal over Jan
print Jan loopt in het bos
echo Hij is wel een beetje bang",print % % print % is % % print % % % % print % % % % % % % is % % % % 
"ask hou je van tuinieren
print ik namelijk wel",ask % % % % print % % % 
"ask hou je van tuinieren
print ik namelijk wel
echo hou jevan tuinieren",ask % % % % print % % % % % % % 
"print hello world!
print blah blah
print shitty",print % % print % % print % 
print hallo wereld! Vandaag is t weer zonnig,print % % % is % % % 
print Hoe is he weer Vandaag is t weer zonnig,print % is % % % is % % % 
"ask wat is je lievelingskleur?
echo dus je lievelings kleur is",ask % is % % % % % % % is 
"ask Hoe oud ben je?
echo Je bent ..  jaar oud",ask % % % % % % % .. % % 
"ask Hoe oud ben je?
echo Je bent .",ask % % % % % % % . 
"ask Hoe oud ben je?
echo Je bent  
print Dat is behoorlijk oud!",ask % % % % % % % print % is % % 
"print hallo wereld!
print je bent lelijk
print je kan de tering krijgen",print % % print % % % print % % % % % 
"print hallo!
print wat is je lieveligskleur?",print % print % is % % 
"print hallo!
print wat is je lieveligskleur?
print hoe gaat het?",print % print % is % % print % % % 
"ask wat is de hoofdpersoon?
echo de hoofpersoon is ",ask % is % % % % % is 
"ask wat is de hoofdpersoon?
echo de hoofpersoon is Karel",ask % is % % % % % is % 
"print hallo!
ask wat is je lieveligskleur?
echo dus je lievelingskleur is 
ask hoe gaat het?",print % ask % is % % % % % % is ask % % % 
"ask Wie is de hoofdpersooon?
echo de hoofd persoon loopt naar school.",ask % is % % % % % % % % % 
"ask hoe heten je ouders?
echo dus je ouders heten",ask % % % % % % % % % 
"print hallo!
ask wat is je lieveligskleur?
echo dus je lievelingskleur is ..
ask hoe gaat het?
echo het gaat ..
print met jouw?",print % ask % is % % % % % % is .. ask % % % % % % .. print % % 
"print Hallo vandaag ga jij je eigen verhaal maken!
ask Hoe heet de hoofdpersoon in jouw verhaal?
echo Op een dag liep 
print door het bos.",print % % % % % % % % ask % % % % % % % % % % % % print % % % 
