code,processed_code
print 'Hallo welkom bij Hedy',print % % % % 
"kleur is ask Wat is je lievelingskleur?
print 'Jouw favoriet is dus ' kleur",% is ask % is % % print % % is % % % 
"optie is ask steen papier schaar?
print optie
computeroptie is steen, papier, schaar
print computeroptie at random",% is ask % % % print % % is % % % print % at random 
"wie is ask knock knock wie is daar?
print 'jij bent dus ' wie",% is ask % % % is % print % % % % % 
"wie is ask knock knock wie is daar?
print wie",% is ask % % % is % print % 
"naam is ask Hoe heet jij?
if naam is Thomas print 'ok jij mag doen wat je wil hier op' else print 'verboden toegang voor jou'",% is ask % % % if % is % print % % % % % % % % % else print % % % % 
"keuzes is 1, 2, 3, 4, 5, regenworm
print keuzes at random",% is % % % % % % print % at random 
"keuzes is 1, 2, 3, 4, 5, regenworm
keuze is keuzes at random
print keuze",% is % % % % % % % is % at random print % 
"dieren is Hond, Kat, Kangoeroe
dier is dieren at random
print dier",% is % % % % is % at random print % 
print ' hoi ' ,print % % % 
"naam is ask Wat is je naam
bijnaam is ask Heb je een bijnaam zo ja welke?
",% is ask % is % % % is ask % % % % % % % 
"jouwkeuze is ask wat kies jij?
keuzes is steen, schaar, papier
computerkeuze is keuzes at random
if computerkeuze is schaar and jouwkeuze is papier print 'de computer wint'
if computerkeuze is schaar and jouwkeuze is steen print 'jij wint'",% is ask % % % % is % % % % is % at random if % is % % % is % print % % % if % is % % % is % print % % 
"print 'Janne steekt een drukke straat over'
print 'Ze zag de auto niet'
einde is ask Wil je een goed of slecht einde?
if einde is goed print 'Ze ligt in het ziekenhuis met veel ballonnen en cadeautjes'
if einde is slecht print 'De ambulance is van een brug afgereden'",print % % % % % % print % % % % % % is ask % % % % % % % if % is % print % % % % % % % % % % if % is % print % % is % % % % 
"print 'Hallo welkom bij Hedy'
print 'Hallo ik ben shirin'",print % % % % print % % % % 
print 'De muis loopt door het huis',print % % % % % % 
"print 'Janne steekt een drukke straat over'
print 'Ze zag de auto niet'
einde is ask Wil je een goed of slecht einde?
if einde is goed print 'Ze ligt in het ziekenhuis met veel ballonnen en cadeautjes'
if einde is slecht print 'De ambulance is van een brug afgereden'
print 'The end'",print % % % % % % print % % % % % % is ask % % % % % % % if % is % print % % % % % % % % % % if % is % print % % is % % % % print % % 
"print 'De muis loopt door het huis'
print 'Hij loopt om het hoekje en ziet een grote kat'",print % % % % % % print % % % % % % % % % % 
"print 'Hallo ik heet willem'
naam is ask hoe heet jij",print % % % % % is ask % % % 
"Lengte is ask Wat is jouw lengte?
print 'Jouw lengte is dus' Lengte",% is ask % is % % print % % is % % 
"print 'De muis loopt door het huis'
print 'Hij loopt om het hoekje en ziet een grote kat'
einde is ask Wil je een goed of slecht einde?",print % % % % % % print % % % % % % % % % % % is ask % % % % % % % 
"print 'Hallo ik heet willem'
naam is ask hoe heet jij
print 'hallo naam'
gevoel is ask hoe gaat het met jouw
",print % % % % % is ask % % % print % % % is ask % % % % % 
"print 'Hallo ik heet willem'
naams is ask hoe heet jij
print 'hallo naams '
gevoel is ask hoe gaat het met jouw
",print % % % % % is ask % % % print % % % % is ask % % % % % 
"print 'De muis loopt door het huis'
print 'Hij loopt om het hoekje en ziet een grote kat'
print 'Maar hij wil dat stukje kaas wat naast de kat ligt heel graag hebben'
einde is ask Wil je een goed of slecht einde?
",print % % % % % % print % % % % % % % % % % print % % % % % % % % % % % % % % % is ask % % % % % % % 
"print 'De muis loopt door het huis'
print 'Hij loopt om het hoekje en ziet een grote kat'
print 'Maar hij wil dat stukje kaas wat naast de kat ligt heel graag hebben'
einde is ask Kaas pakken of niet?
",print % % % % % % print % % % % % % % % % % print % % % % % % % % % % % % % % % is ask % % % % 
"print 'Hallo ik heet willem'
hij is ask hoe heet jij
print 'hallo ' hij
gevoel is ask hoe gaat het met jouw hij
",print % % % % % is ask % % % print % % % % is ask % % % % % % 
"naam is Ilva
print 'Dit verhaaltje gaat over ' naam
vriend is Anna
print 'Ze gaat wandelen met ' vriend ' in de drunense duinen'
keuzes is hond, kat, cavia
print vriend ' neemt haar ' keuzes at random ' mee'
keuzes is  naar de stad,  een tosti eten
print 'Nadat ze zijn gaan wandelen gaan ' vriend ' en ' naam keuzes at random
print naam ' en ' vriend ' vonden het erg gezellig'
keuzes is morgen, over een week
print 'Daarom gaan ze het ' keuzes at random ' weer doen'
",% is % print % % % % % % % is % print % % % % % % % % % % % % is % % % print % % % % % % at random % % % is % % % % % % print % % % % % % % % % % % % % at random print % % % % % % % % % % % is % % % % print % % % % % % at random % % % 
"print 'Janne steekt een drukke straat over'
print 'Ze zag de auto niet'
einde is ask Wil je een goed of slecht einde?
if einde is goed print 'Ze ligt in het ziekenhuis met veel ballonnen en cadeautjes'
print 'The end'
if einde is slecht print 'De ambulance is van een brug afgereden'
print 'The end'",print % % % % % % print % % % % % % is ask % % % % % % % if % is % print % % % % % % % % % % print % % if % is % print % % is % % % % print % % 
"print 'Hallo ik heet willem'
hij is ask hoe heet jij
print 'hallo ' hij
gevoel is ask gaat het goed of slecht met jouw
if gevoel is goed print 'nou mooi' else print 'oh dat is niet zo mooi'
",print % % % % % is ask % % % print % % % % is ask % % % % % % % if % is % print % % else print % % is % % % 
